Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,MIDCPNIFTY,35533,OPTIDX,CE,9975,MIDCPNIFTY,MIDCPNIFTY 29th APR 9975 CE,MIDCPNIFTY29APR24C9975,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35534,OPTIDX,PE,9975,MIDCPNIFTY,MIDCPNIFTY 29th APR 9975 PE,MIDCPNIFTY29APR24P9975,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35543,OPTIDX,CE,10000,MIDCPNIFTY,MIDCPNIFTY 29th APR 10000 CE,MIDCPNIFTY29APR24C10000,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35546,OPTIDX,PE,10000,MIDCPNIFTY,MIDCPNIFTY 29th APR 10000 PE,MIDCPNIFTY29APR24P10000,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35547,OPTIDX,CE,10025,MIDCPNIFTY,MIDCPNIFTY 29th APR 10025 CE,MIDCPNIFTY29APR24C10025,2024-04-29,75,0.05
NFO,nse_fo,CUMMINSIND,35563,OPTSTK,CE,3400,CUMMINS INDIA LTD,CUMMINSIND APR 3400 CE,CUMMINSIND25APR24C3400,2024-04-25,300,0.05
NFO,nse_fo,CUMMINSIND,35564,OPTSTK,PE,3400,CUMMINS INDIA LTD,CUMMINSIND APR 3400 PE,CUMMINSIND25APR24P3400,2024-04-25,300,0.05
NFO,nse_fo,MIDCPNIFTY,35566,OPTIDX,PE,10025,MIDCPNIFTY,MIDCPNIFTY 29th APR 10025 PE,MIDCPNIFTY29APR24P10025,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35567,OPTIDX,CE,10050,MIDCPNIFTY,MIDCPNIFTY 29th APR 10050 CE,MIDCPNIFTY29APR24C10050,2024-04-29,75,0.05
NFO,nse_fo,NIFTY,35568,OPTIDX,PE,20100,NIFTY,NIFTY 10th APR 20100 PE,NIFTY10APR24P20100,2024-04-10,50,0.05
NFO,nse_fo,NIFTY,35569,OPTIDX,CE,20150,NIFTY,NIFTY 10th APR 20150 CE,NIFTY10APR24C20150,2024-04-10,50,0.05
NFO,nse_fo,MIDCPNIFTY,35582,OPTIDX,PE,10050,MIDCPNIFTY,MIDCPNIFTY 29th APR 10050 PE,MIDCPNIFTY29APR24P10050,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35583,OPTIDX,CE,10075,MIDCPNIFTY,MIDCPNIFTY 29th APR 10075 CE,MIDCPNIFTY29APR24C10075,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35584,OPTIDX,PE,10075,MIDCPNIFTY,MIDCPNIFTY 29th APR 10075 PE,MIDCPNIFTY29APR24P10075,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35587,OPTIDX,CE,10100,MIDCPNIFTY,MIDCPNIFTY 29th APR 10100 CE,MIDCPNIFTY29APR24C10100,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35590,OPTIDX,PE,10100,MIDCPNIFTY,MIDCPNIFTY 29th APR 10100 PE,MIDCPNIFTY29APR24P10100,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35591,OPTIDX,CE,10125,MIDCPNIFTY,MIDCPNIFTY 29th APR 10125 CE,MIDCPNIFTY29APR24C10125,2024-04-29,75,0.05
NFO,nse_fo,BANKNIFTY,35608,OPTIDX,PE,41000,BANKNIFTY,BANKNIFTY 26th JUN 41000 PE,BANKNIFTY26JUN24P41000,2024-06-26,15,0.05
NFO,nse_fo,MIDCPNIFTY,35620,OPTIDX,PE,10125,MIDCPNIFTY,MIDCPNIFTY 29th APR 10125 PE,MIDCPNIFTY29APR24P10125,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35625,OPTIDX,CE,10150,MIDCPNIFTY,MIDCPNIFTY 29th APR 10150 CE,MIDCPNIFTY29APR24C10150,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35630,OPTIDX,PE,10150,MIDCPNIFTY,MIDCPNIFTY 29th APR 10150 PE,MIDCPNIFTY29APR24P10150,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35631,OPTIDX,CE,10175,MIDCPNIFTY,MIDCPNIFTY 29th APR 10175 CE,MIDCPNIFTY29APR24C10175,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35632,OPTIDX,PE,10175,MIDCPNIFTY,MIDCPNIFTY 29th APR 10175 PE,MIDCPNIFTY29APR24P10175,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35633,OPTIDX,CE,10200,MIDCPNIFTY,MIDCPNIFTY 29th APR 10200 CE,MIDCPNIFTY29APR24C10200,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35634,OPTIDX,PE,10200,MIDCPNIFTY,MIDCPNIFTY 29th APR 10200 PE,MIDCPNIFTY29APR24P10200,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35635,OPTIDX,CE,10225,MIDCPNIFTY,MIDCPNIFTY 29th APR 10225 CE,MIDCPNIFTY29APR24C10225,2024-04-29,75,0.05
NFO,nse_fo,INDUSTOWER,35653,OPTSTK,CE,295,INDUS TOWERS LIMITED,INDUSTOWER APR 295 CE,INDUSTOWER25APR24C295,2024-04-25,3400,0.05
NFO,nse_fo,INDUSTOWER,35654,OPTSTK,PE,295,INDUS TOWERS LIMITED,INDUSTOWER APR 295 PE,INDUSTOWER25APR24P295,2024-04-25,3400,0.05
NFO,nse_fo,INDUSTOWER,35655,OPTSTK,CE,330,INDUS TOWERS LIMITED,INDUSTOWER APR 330 CE,INDUSTOWER25APR24C330,2024-04-25,3400,0.05
NFO,nse_fo,INDUSTOWER,35656,OPTSTK,PE,330,INDUS TOWERS LIMITED,INDUSTOWER APR 330 PE,INDUSTOWER25APR24P330,2024-04-25,3400,0.05
NFO,nse_fo,MIDCPNIFTY,35658,OPTIDX,PE,10225,MIDCPNIFTY,MIDCPNIFTY 29th APR 10225 PE,MIDCPNIFTY29APR24P10225,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35659,OPTIDX,CE,10250,MIDCPNIFTY,MIDCPNIFTY 29th APR 10250 CE,MIDCPNIFTY29APR24C10250,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35662,OPTIDX,PE,10250,MIDCPNIFTY,MIDCPNIFTY 29th APR 10250 PE,MIDCPNIFTY29APR24P10250,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35663,OPTIDX,CE,10275,MIDCPNIFTY,MIDCPNIFTY 29th APR 10275 CE,MIDCPNIFTY29APR24C10275,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35666,OPTIDX,PE,10275,MIDCPNIFTY,MIDCPNIFTY 29th APR 10275 PE,MIDCPNIFTY29APR24P10275,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35667,OPTIDX,CE,10300,MIDCPNIFTY,MIDCPNIFTY 29th APR 10300 CE,MIDCPNIFTY29APR24C10300,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35668,OPTIDX,PE,10300,MIDCPNIFTY,MIDCPNIFTY 29th APR 10300 PE,MIDCPNIFTY29APR24P10300,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35669,OPTIDX,CE,10325,MIDCPNIFTY,MIDCPNIFTY 29th APR 10325 CE,MIDCPNIFTY29APR24C10325,2024-04-29,75,0.05
