Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,MIDCPNIFTY,35744,OPTIDX,PE,10650,MIDCPNIFTY,MIDCPNIFTY 29th APR 10650 PE,MIDCPNIFTY29APR24P10650,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35745,OPTIDX,CE,10675,MIDCPNIFTY,MIDCPNIFTY 29th APR 10675 CE,MIDCPNIFTY29APR24C10675,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35746,OPTIDX,PE,10675,MIDCPNIFTY,MIDCPNIFTY 29th APR 10675 PE,MIDCPNIFTY29APR24P10675,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35747,OPTIDX,CE,10700,MIDCPNIFTY,MIDCPNIFTY 29th APR 10700 CE,MIDCPNIFTY29APR24C10700,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35748,OPTIDX,PE,10700,MIDCPNIFTY,MIDCPNIFTY 29th APR 10700 PE,MIDCPNIFTY29APR24P10700,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35749,OPTIDX,CE,10725,MIDCPNIFTY,MIDCPNIFTY 29th APR 10725 CE,MIDCPNIFTY29APR24C10725,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35750,OPTIDX,PE,10725,MIDCPNIFTY,MIDCPNIFTY 29th APR 10725 PE,MIDCPNIFTY29APR24P10725,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35751,OPTIDX,CE,10750,MIDCPNIFTY,MIDCPNIFTY 29th APR 10750 CE,MIDCPNIFTY29APR24C10750,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35752,OPTIDX,PE,10750,MIDCPNIFTY,MIDCPNIFTY 29th APR 10750 PE,MIDCPNIFTY29APR24P10750,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35756,OPTIDX,CE,10775,MIDCPNIFTY,MIDCPNIFTY 29th APR 10775 CE,MIDCPNIFTY29APR24C10775,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35757,OPTIDX,PE,10775,MIDCPNIFTY,MIDCPNIFTY 29th APR 10775 PE,MIDCPNIFTY29APR24P10775,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35758,OPTIDX,CE,10800,MIDCPNIFTY,MIDCPNIFTY 29th APR 10800 CE,MIDCPNIFTY29APR24C10800,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35759,OPTIDX,PE,10800,MIDCPNIFTY,MIDCPNIFTY 29th APR 10800 PE,MIDCPNIFTY29APR24P10800,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35771,OPTIDX,CE,10825,MIDCPNIFTY,MIDCPNIFTY 29th APR 10825 CE,MIDCPNIFTY29APR24C10825,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35772,OPTIDX,PE,10825,MIDCPNIFTY,MIDCPNIFTY 29th APR 10825 PE,MIDCPNIFTY29APR24P10825,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35773,OPTIDX,CE,10850,MIDCPNIFTY,MIDCPNIFTY 29th APR 10850 CE,MIDCPNIFTY29APR24C10850,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35776,OPTIDX,PE,10850,MIDCPNIFTY,MIDCPNIFTY 29th APR 10850 PE,MIDCPNIFTY29APR24P10850,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35777,OPTIDX,CE,10875,MIDCPNIFTY,MIDCPNIFTY 29th APR 10875 CE,MIDCPNIFTY29APR24C10875,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35781,OPTIDX,PE,10875,MIDCPNIFTY,MIDCPNIFTY 29th APR 10875 PE,MIDCPNIFTY29APR24P10875,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35782,OPTIDX,CE,10900,MIDCPNIFTY,MIDCPNIFTY 29th APR 10900 CE,MIDCPNIFTY29APR24C10900,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35784,OPTIDX,PE,10900,MIDCPNIFTY,MIDCPNIFTY 29th APR 10900 PE,MIDCPNIFTY29APR24P10900,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35785,OPTIDX,CE,10925,MIDCPNIFTY,MIDCPNIFTY 29th APR 10925 CE,MIDCPNIFTY29APR24C10925,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35786,OPTIDX,PE,10925,MIDCPNIFTY,MIDCPNIFTY 29th APR 10925 PE,MIDCPNIFTY29APR24P10925,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35787,OPTIDX,CE,10950,MIDCPNIFTY,MIDCPNIFTY 29th APR 10950 CE,MIDCPNIFTY29APR24C10950,2024-04-29,75,0.05
