Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,USDINR,11582,OPTCUR,PE,83.125,USDINR,USDINR07MAR24P83.125,USDINR 7th MAR 83.125 PE,2024-03-07,1,0.0025
CDS,cde_fo,USDINR,11583,OPTCUR,CE,83.25,USDINR,USDINR07MAR24C83.25,USDINR 7th MAR 83.25 CE,2024-03-07,1,0.0025
CDS,cde_fo,USDINR,11584,OPTCUR,PE,83.25,USDINR,USDINR07MAR24P83.25,USDINR 7th MAR 83.25 PE,2024-03-07,1,0.0025
CDS,cde_fo,USDINR,11585,OPTCUR,CE,83.375,USDINR,USDINR07MAR24C83.375,USDINR 7th MAR 83.375 CE,2024-03-07,1,0.0025
CDS,cde_fo,GBPINR,11586,OPTCUR,PE,108.25,GBPINR,GBPINR10MAY24P108.25,GBPINR 10th MAY 108.25 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11587,OPTCUR,CE,108.5,GBPINR,GBPINR10MAY24C108.5,GBPINR 10th MAY 108.5 CE,2024-05-10,1,0.0025
CDS,cde_fo,USDINR,11588,OPTCUR,PE,83.375,USDINR,USDINR07MAR24P83.375,USDINR 7th MAR 83.375 PE,2024-03-07,1,0.0025
CDS,cde_fo,USDINR,11589,OPTCUR,CE,83.5,USDINR,USDINR07MAR24C83.5,USDINR 7th MAR 83.5 CE,2024-03-07,1,0.0025
CDS,cde_fo,USDINR,11590,OPTCUR,PE,83.5,USDINR,USDINR07MAR24P83.5,USDINR 7th MAR 83.5 PE,2024-03-07,1,0.0025
CDS,cde_fo,USDINR,11591,OPTCUR,CE,83.625,USDINR,USDINR07MAR24C83.625,USDINR 7th MAR 83.625 CE,2024-03-07,1,0.0025
CDS,cde_fo,GBPINR,11592,OPTCUR,CE,104.5,GBPINR,GBPINR26APR24C104.5,GBPINR 26th APR 104.5 CE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11593,OPTCUR,PE,104.5,GBPINR,GBPINR26APR24P104.5,GBPINR 26th APR 104.5 PE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11594,OPTCUR,PE,108.5,GBPINR,GBPINR10MAY24P108.5,GBPINR 10th MAY 108.5 PE,2024-05-10,1,0.0025
